method,filename,actual,raw,corrected,raw_similarity,corrected_similarity
blur,image (4).jpeg,amino,amino,amino,1.0,1.0
blur,image (5).jpeg,gamma,gamma,gamma,1.0,1.0
blur,image (6).jpeg,genetic,genetic,genetic,1.0,1.0
blur,image (7).jpeg,plants,(plants,plants,0.9231,1.0
blur,image (8).jpeg,astounding,astounding,astounding,1.0,1.0
blur,image (9).jpeg,culture,culture,culture,1.0,1.0
blur,image (10).jpeg,nights,cioh,cioh,0.4,0.4
blur,image (11).jpeg,predator,@edotoe,edotoe,0.5333,0.5714
blur,image (12).jpeg,universities,uni u%s1fi,uni u s1fi,0.4545,0.4545
blur,image (13).jpeg,students,students,students,1.0,1.0
blur,image (14).jpeg,organization,orqani satidh,orqani satidh,0.64,0.64
blur,image (15).jpeg,haircut,iatc c4,iatc c4,0.2857,0.2857
blur,image (16).jpeg,the writing's on the wall,tnc kriting's m me wall,tnc kriting s m me wall,0.75,0.7083
blur,image (17).jpeg,"communication skills, discipline, and confidence","communicalion_skills , discibline , confidemce. and",communicalion skills discibline confidemce and,0.8081,0.8298
blur,image (18).jpeg,"and if love finds me again, i hope it's someone who",el xow hiy ap ib aemeenl ah,el xow hiy ap ib aemeenl ah,0.3846,0.3846
blur,image (19).jpeg,sometimes it's heat and i actually like it,soretimes it's neat ad lk (+ . aetually,soretimes it s neat ad lk aetually,0.716,0.7368
blur,image (20).jpeg,run away from those whose existance bleeds excuses,awaly efm orhse existance btecds excuses 2run ofos2,awaly efm orhse existance btecds excuses 2run ofos2,0.6931,0.6931
blur,image (21).jpeg,education has played an important role in shaping my personality and career,education_has-played_an imbortant ncle in shabing my penscnality and_caet.,education has played an imbortant nde in shabing my penscnality and caet,0.8322,0.8844
blur,image (22).jpeg,"rejections, mistakes , failures","(rejections , mistakes , failures,",rejections mistakes failures,0.9538,0.9492
blur,image (23).jpeg,thank you so much for taking excellent care of our cat olive!,thank yow 50 much for excellent care 0f ou7 cat olive ! taking,thank yow so much for excellent care of ou7 cat olive taking,0.7967,0.843
threshold,image (1).jpeg,racist,rest,rest,0.6,0.6
threshold,image (2).jpeg,implications,implications,implications,1.0,1.0
threshold,image (3).jpeg,desire,desire,desire,1.0,1.0
threshold,image (4).jpeg,amino,amino,amino,1.0,1.0
threshold,image (5).jpeg,gamma,gamma,gamma,1.0,1.0
threshold,image (6).jpeg,genetic,genetic,genetic,1.0,1.0
threshold,image (7).jpeg,plants,(plants,plants,0.9231,1.0
threshold,image (8).jpeg,astounding,astounding_,astounding,0.9524,1.0
threshold,image (9).jpeg,culture,culture,culture,1.0,1.0
threshold,image (10).jpeg,nights,eiohs,eiohs,0.5455,0.5455
threshold,image (11).jpeg,predator,tedotoe,tedotoe,0.5333,0.5333
threshold,image (12).jpeg,universities,uli 1 %81t1,uli 1 81t1,0.2609,0.2727
threshold,image (13).jpeg,students,students,students,1.0,1.0
threshold,image (14).jpeg,organization,oidri sati dh,oidri sati dh,0.48,0.48
threshold,image (15).jpeg,haircut,lcul,lcul,0.3636,0.3636
threshold,image (16).jpeg,the writing's on the wall,tnc nriting's m me kall,tnc nriting s m me kall,0.7083,0.6667
threshold,image (17).jpeg,"communication skills, discipline, and confidence","commication skills,_discibline , cofidemce . and",commication skills discibline cofidemce and,0.7917,0.8132
threshold,image (18).jpeg,"and if love finds me again, i hope it's someone who",a- zox als ml is eonl tay aho,a zox als ml is eonl tay aho,0.425,0.4304
threshold,image (19).jpeg,sometimes it's heat and i actually like it,soretmcs i's neat ad lipe {t_ actually,soretmcs i s neat ad lipe t actually,0.7,0.6923
threshold,image (20).jpeg,run away from those whose existance bleeds excuses,'2run &_ 4h ~esanc 'jrhxsc blucls lucuses_ 6fose .,2run 4h esanc jrhxsc blucls lucuses 6fose,0.44,0.4615
threshold,image (21).jpeg,education has played an important role in shaping my personality and career,educaticm_has blayed qn imbotamt ncle in shaping my pensonality caneeit _ ad,educaticm has blayed qn imbotamt nde in shaping my pensonality caneeit ad,0.7682,0.7838
threshold,image (22).jpeg,"rejections, mistakes , failures","mistakes  s,failures. (ejections ,",mistakes s failures ejections,0.5538,0.6
threshold,image (23).jpeg,thank you so much for taking excellent care of our cat olive!,thank yow s much for excellent care of our cot olire taking,thank yow s much for excellent care of our cot olire taking,0.8167,0.8167
adaptive,image (1).jpeg,racist,nleibh _,nleibh,0.1429,0.1667
adaptive,image (2).jpeg,implications,plications,plications,0.9091,0.9091
adaptive,image (3).jpeg,desire,'de sire:,de sire,0.8,0.9231
adaptive,image (4).jpeg,amino,d1noz,dlnoz,0.4,0.4
adaptive,image (5).jpeg,gamma,gamma,gamma,1.0,1.0
adaptive,image (6).jpeg,genetic,genetia,genetia,0.8571,0.8571
adaptive,image (7).jpeg,plants,louts,louts,0.5455,0.5455
adaptive,image (8).jpeg,astounding,oiskos,oiskos,0.25,0.25
adaptive,image (9).jpeg,culture,cultune;,cultune,0.8,0.8571
adaptive,image (10).jpeg,nights,liic_,liic,0.1818,0.2
adaptive,image (11).jpeg,predator,htedbzot_,htedbzot,0.3529,0.375
adaptive,image (12).jpeg,universities,135 um,l3s um,0.1111,0.1111
adaptive,image (13).jpeg,students,studrnks,studmks,0.75,0.6667
adaptive,image (14).jpeg,organization,(izeli,izeli,0.3333,0.3529
adaptive,image (15).jpeg,haircut,h,h,0.25,0.25
adaptive,image (16).jpeg,the writing's on the wall,tkc mritirg's & me kail,tkc mritirg s me kail,0.625,0.5652
adaptive,image (17).jpeg,"communication skills, discipline, and confidence",icaliom yimes_and [confidencez:,icaliom yimes and confidencez,0.557,0.5974
adaptive,image (18).jpeg,"and if love finds me again, i hope it's someone who",,,0.0,0.0
adaptive,image (19).jpeg,sometimes it's heat and i actually like it,_sbchmee its_neat-ac achallu lpee+:,sbchmee its neat ac achallu lpee,0.5455,0.6216
adaptive,image (20).jpeg,run away from those whose existance bleeds excuses,znioun gibases @iisiance ~bleed entetises tbon 1n2,znioun gibases iisiance bleed entetises tbon 1n2,0.5,0.5102
adaptive,image (21).jpeg,education has played an important role in shaping my personality and career,[educalio_has_plaijed_an imbontunt_iole_jn_ ehahing' beiscnality_and_caieeu: t,educalio has plaijed an imbontunt iole jn ehahing beiscnality and caieeu t,0.6536,0.7651
adaptive,image (22).jpeg,"rejections, mistakes , failures",ectionss mistakess lailures,ectionss mistakess lailures,0.8276,0.8276
adaptive,image (23).jpeg,thank you so much for taking excellent care of our cat olive!,i thank-ya4.2202276 ex cellevz 01 zcoreolive; 3% rio  307,i thank ya4 22o2276 ex cellevz ol zcoreolive 3 rio 3o7,0.4068,0.4696
blur_threshold,image (1).jpeg,racist,reest,reest,0.5455,0.5455
blur_threshold,image (2).jpeg,implications,implications,implications,1.0,1.0
blur_threshold,image (3).jpeg,desire,desire,desire,1.0,1.0
blur_threshold,image (4).jpeg,amino,amino,amino,1.0,1.0
blur_threshold,image (5).jpeg,gamma,gamma,gamma,1.0,1.0
blur_threshold,image (6).jpeg,genetic,genetic,genetic,1.0,1.0
blur_threshold,image (7).jpeg,plants,(ptants,ptants,0.7692,0.8333
blur_threshold,image (8).jpeg,astounding,astounding _,astounding,0.9091,1.0
blur_threshold,image (9).jpeg,culture,culture,culture,1.0,1.0
blur_threshold,image (10).jpeg,nights,cfiaht,cfiaht,0.5,0.5
blur_threshold,image (11).jpeg,predator,htc ltc,htc ltc,0.1333,0.1333
blur_threshold,image (12).jpeg,universities,uli 1 %81ti,uli 1 81ti,0.3478,0.3636
blur_threshold,image (13).jpeg,students,studen ts,studen ts,0.9412,0.9412
blur_threshold,image (14).jpeg,organization,oqani sat7i dn,oqani sat7i dn,0.6154,0.6154
blur_threshold,image (15).jpeg,haircut,hcy,hcy,0.4,0.4
blur_threshold,image (16).jpeg,the writing's on the wall,thc kihrg's m me kall,thc kihrg s m me kall,0.6087,0.5652
blur_threshold,image (17).jpeg,"communication skills, discipline, and confidence","communicalion skills , discibline , ad colidence .",communicalion skills discibline ad colidence,0.8776,0.8913
blur_threshold,image (18).jpeg,"and if love finds me again, i hope it's someone who",s~t za au ats mlonl ~ ah,s t za au ats mlonl ah,0.3467,0.3836
blur_threshold,image (19).jpeg,sometimes it's heat and i actually like it,soretimcs 4's hed md lik (+ ictually,soretimcs 4 s hed md lik ictually,0.641,0.64
blur_threshold,image (20).jpeg,run away from those whose existance bleeds excuses,#rhxsc 243} _ xslancc klcds lxcllscs jrun njfssl ~al,rhxsc 243 xslancc klcds lxdlscs jrun njfssl al,0.3922,0.4167
blur_threshold,image (21).jpeg,education has played an important role in shaping my personality and career,education has blayed q imbottant &clt i shabing my pensonality caneen _ ad,education has blayed q imbottant dt i shabing my pensonality caneen ad,0.7785,0.7862
blur_threshold,image (22).jpeg,"rejections, mistakes , failures","eejections , mistakes , failures.",eejections mistakes failures,0.9375,0.9153
blur_threshold,image (23).jpeg,thank you so much for taking excellent care of our cat olive!,thank ycu much for excellenf care of our cot otire taking jo,thank ycu much for excellenf care of our cot otire taking jo,0.7438,0.7438
